CVE,Criticidad
CVE-NONE-0001,None
CVE-NONE-0002,None
CVE-NONE-0003,None
CVE-2018-19277,High
CVE-2019-9942,Low
CVE-2019-10910,Critical
CVE-2019-10912,High
CVE-2019-10913,Critical
CVE-2019-12331,High
CVE-2019-18887,High
CVE-2019-18888,High
CVE-2020-13662,Medium
CVE-2020-13663,Medium
CVE-2020-13664,Critical
CVE-2020-13665,Medium
CVE-2020-13666,Medium
CVE-2020-13667,Medium
CVE-2020-13668,Medium
CVE-2020-13669,Medium
CVE-2020-13670,Medium
CVE-2020-13671,Medium
CVE-2020-13672,Low
CVE-2020-28949,Medium
CVE-2020-36193,Medium
CVE-2020-36326,High
CVE-2020-7776,Medium
CVE-2021-33829,Low
CVE-2021-34551,Medium
CVE-2021-3603,Medium
CVE-2021-41106,Medium
CVE-2021-41270,Medium
CVE-2022-0085,Medium
CVE-2022-23614,High
CVE-2022-23638,Low
CVE-2022-24775,High
CVE-2022-24828,Medium
CVE-2022-24894,Medium
CVE-2022-25275,Critical
CVE-2022-25277,Critical
CVE-2022-25278,Medium
CVE-2022-29248,High
CVE-2022-31042,High
CVE-2022-31043,High
CVE-2022-31090,High
CVE-2022-31091,High
CVE-2022-39261,High
CVE-2022-31109,Medium
CVE-2022-41343,Medium
CVE-2023-29197,High
